Año,Mes_Nombre,Programa_Base,Asignatura,Desaprobado,Total_Alumnos,Tasa_Desaprobados
2016,Abril,CARRERA DE ECONOMIA,INTRODUCCIÓN A LA ECONOMÍA (70/30),0,1,0.0
2016,Abril,CARRERA DE ECONOMIA,INTRODUCCIÓN A LOS NEGOCIOS  (A DISTANCIA),0,1,0.0
2016,Abril,CARRERA DE ECONOMIA,METODOLOGÍA DE LA INVESTIGACIÓN ,0,9,0.0
2016,Abril,CARRERA DE ECONOMIA,MÉTODOS DE ESTUDIO,2,11,0.1818
2016,Abril,CARRERA DE ECONOMIA,TALLER DE EXPRESIÓN ORAL,2,8,0.25
2016,Abril,CARRERA DE ECONOMIA,TALLER DE INDUCCIÓN A LA PROFESIÓN,2,15,0.1333
2016,Abril,CARRERA DE ECONOMIA,TALLER DE INDUCCIÓN A LA PROFESIÓN (70/30),0,1,0.0
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,CURRÍCULO,0,1,0.0
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,INGLÉS II,0,1,0.0
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN CIENCIAS SOCIALES Y COMUNICACIÓN,TALLER DE EXPRESIÓN ORAL,0,1,0.0
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,ACTIVIDADES I,2,9,0.2222
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,CURRÍCULO,1,10,0.1
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,FILOSOFÍA Y ÉTICA,0,5,0.0
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS I,1,6,0.1667
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,INGLÉS II,0,1,0.0
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,METODOLOGÍA DE LA INVESTIGACIÓN ,0,4,0.0
2016,Abril,CARRERA PROFESIONAL DE EDUCACION CON MENCION EN INICIAL,MÉTODOS DE ESTUDIO,3,9,0.3333
