Periodo_Real,Año,Mes,Codigo_Plan_SAP,Programa,Facultad,Gestion,Modalidad_Agrupada,Concluyeron el Plan,Admitidos Matriculados,Nuevos Traslados,Nuevos Convalidados,Permanentes Continuos,Perm. Siempre (0m),Perm. 1mes,Permanentes Incontinuos,Reincorporados (6-12m),Reincorporados (>12m),Riesgo Deserción (1m),Riesgo Deserción (2m),Deserción Temprana (3-6m),Deserción Tardía (7-12m),Deserción Muy Tardía (>12m),Retenidos (1m),Matríc. regular a Distancia,Estudiantes matrí. TOTAL
2018-05,2018,Mayo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,3,5,0,0,64,61,3,4,1,0,21,5,18,13,70,64,77,77
2018-06,2018,Junio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,9,0,0,68,60,8,3,0,0,12,10,19,14,70,68,85,85
2018-07,2018,Julio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,6,0,0,63,59,4,1,0,0,20,7,18,19,72,63,58,75
2018-08,2018,Agosto,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,10,0,0,60,52,8,4,0,1,16,11,17,19,73,60,80,80
2018-09,2018,Setiembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,9,0,0,61,54,7,4,2,1,21,8,19,13,77,61,82,82
2018-10,2018,Octubre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,6,5,0,0,67,59,8,2,0,0,15,13,20,13,79,67,80,80
2018-11,2018,Noviembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,7,7,0,0,62,57,5,3,1,1,14,9,21,17,79,62,59,81
2018-12,2018,Diciembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,4,0,0,58,56,2,3,0,0,16,11,22,19,80,58,70,70
2019-01,2019,Enero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,8,13,0,0,46,42,4,13,2,0,16,11,16,17,84,46,82,82
2019-02,2019,Febrero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,16,0,0,61,57,4,0,1,2,15,10,25,17,83,61,71,84
2019-03,2019,Marzo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,12,11,0,0,68,65,3,3,2,1,8,12,21,19,84,68,97,97
2019-04,2019,Abril,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,18,0,0,65,64,1,0,2,1,20,7,25,19,85,65,91,91
2019-05,2019,Mayo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,8,12,0,0,75,71,4,2,1,0,12,13,25,16,90,75,94,98
2019-06,2019,Junio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,5,0,0,77,74,3,3,0,0,12,9,26,21,93,77,84,90
2019-07,2019,Julio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,1,9,0,0,76,75,1,3,0,3,10,10,27,23,93,76,87,92
2019-08,2019,Agosto,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,14,10,0,0,85,78,7,3,2,0,9,2,23,23,93,85,111,114
2019-09,2019,Setiembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,3,7,0,0,93,91,2,0,0,0,8,7,19,23,97,93,100,103
2019-10,2019,Octubre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,9,10,0,2,79,77,2,2,0,1,15,6,18,26,98,79,100,101
